experiment,acclimation_temperature,compartment,temperature,removed_temp,phase,available_structure,T50,T55,T60,TSUM
1,16,1,13,16,II,"2,3,4,5,6",0,0,0,0
1,16,2,16,16,II,"2,3,4,5,6",1,0,1,2
1,16,3,19,16,II,"2,3,4,5,6",0,0,0,0
1,16,4,22,16,II,"2,3,4,5,6",0,0,0,0
1,16,5,19,16,II,"2,3,4,5,6",1,1,0,2
1,16,6,16,16,II,"2,3,4,5,6",1,2,2,5
1,16,7,13,16,II,"2,3,4,5,6",0,0,0,0
1,16,8,10,16,II,"2,3,4,5,6",0,0,0,0
2,16,1,13,16,II,"2,3,4,5,6",0,0,0,0
2,16,2,16,16,II,"2,3,4,5,6",1,1,1,3
2,16,3,19,16,II,"2,3,4,5,6",0,0,0,0
2,16,4,22,16,II,"2,3,4,5,6",0,0,0,0
2,16,5,19,16,II,"2,3,4,5,6",0,0,0,0
2,16,6,16,16,II,"2,3,4,5,6",2,2,2,6
2,16,7,13,16,II,"2,3,4,5,6",0,0,0,0
2,16,8,10,16,II,"2,3,4,5,6",0,0,0,0
3,16,1,13,16,II,"2,3,4,5,6",0,0,0,0
3,16,2,16,16,II,"2,3,4,5,6",3,3,3,9
3,16,3,19,16,II,"2,3,4,5,6",0,0,0,0
3,16,4,22,16,II,"2,3,4,5,6",0,0,0,0
3,16,5,19,16,II,"2,3,4,5,6",0,0,0,0
3,16,6,16,16,II,"2,3,4,5,6",0,0,0,0
3,16,7,13,16,II,"2,3,4,5,6",0,0,0,0
3,16,8,10,16,II,"2,3,4,5,6",0,0,0,0
5,16,1,13,16,II,"2,3,4,5,6",0,0,0,0
5,16,2,16,16,II,"2,3,4,5,6",3,3,3,9
5,16,3,19,16,II,"2,3,4,5,6",0,0,0,0
5,16,4,22,16,II,"2,3,4,5,6",0,0,0,0
5,16,5,19,16,II,"2,3,4,5,6",0,0,0,0
5,16,6,16,16,II,"2,3,4,5,6",0,0,0,0
5,16,7,13,16,II,"2,3,4,5,6",0,0,0,0
