experiment,acclimation_temperature,compartment,temperature,phase,T0,T5,T10,T15,T20,T25,T30,T35,T40,T45,T50,T55,T60
1,16,1,13,I,2,0,0,0,0,0,0,1,0,0,0,0,0
1,16,2,16,I,1,3,3,1,1,1,1,1,2,2,0,0,0
1,16,3,19,I,0,0,0,0,0,0,2,1,0,0,3,1,2
1,16,4,22,I,0,0,0,2,0,1,0,0,1,1,0,2,1
1,16,5,19,I,0,0,0,0,2,0,0,0,0,0,0,0,0
1,16,6,16,I,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,7,13,I,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,8,10,I,0,0,0,0,0,1,0,0,0,0,0,0,0
1,16,1,13,II,0,0,1,1,1,1,1,1,2,0,0,0,0
1,16,2,16,II,1,0,0,0,0,0,0,0,0,0,0,0,1
1,16,3,19,II,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,4,22,II,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,5,19,II,1,1,1,1,1,1,1,1,1,1,1,1,1
1,16,6,16,II,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,7,13,II,1,0,0,0,1,0,0,0,0,0,0,0,0
1,16,8,10,II,0,2,1,1,0,1,1,1,0,2,2,2,1
1,16,1,13,III,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,2,16,III,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,3,19,III,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,4,22,III,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,5,19,III,0,1,0,0,0,0,0,0,0,1,0,0,0
1,16,6,16,III,1,0,0,0,0,0,0,0,1,0,0,0,0
1,16,7,13,III,1,1,2,3,2,3,2,2,1,0,1,2,2
1,16,8,10,III,1,1,1,0,1,0,1,1,1,2,2,1,1
2,16,1,13,I,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,2,16,I,1,2,1,1,1,1,0,1,0,1,1,0,0
2,16,3,19,I,1,1,1,1,1,1,2,2,3,2,0,1,0
2,16,4,22,I,0,0,0,0,0,0,0,0,0,0,2,2,3
2,16,5,19,I,1,0,0,1,1,1,1,0,0,0,0,0,0
2,16,6,16,I,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,7,13,I,0,0,1,0,0,0,0,0,0,0,0,0,0
2,16,8,10,I,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,1,13,II,1,1,0,0,0,0,0,0,0,0,0,0,0
2,16,2,16,II,1,1,1,1,1,1,1,1,1,1,1,1,1
2,16,3,19,II,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,4,22,II,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,5,19,II,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,6,16,II,0,0,0,1,1,1,1,1,1,1,1,1,1
2,16,7,13,II,1,1,2,1,1,1,1,1,1,1,1,1,1
2,16,8,10,II,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,1,13,III,2,2,2,2,2,2,2,2,2,2,2,2,2
2,16,2,16,III,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,3,19,III,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,4,22,III,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,5,19,III,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,6,16,III,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,7,13,III,1,1,1,1,1,1,1,1,1,1,1,1,1
2,16,8,10,III,0,0,0,0,0,0,0,0,0,0,0,0,0
5,16,1,13,I,0,0,0,0,0,0,0,0,0,0,0,0,0
5,16,2,16,I,2,2,2,2,2,3,2,1,2,2,2,2,2
5,16,3,19,I,0,0,0,0,0,0,0,0,0,0,0,0,0
