experiment,acclimation_temperature,compartment,temperature,removed_temp,phase,available_structure,T50,T55,T60,TSUM
2,16,1,13,13,I,"2,3,4,5,6,8",0,0,0,0
2,16,2,16,13,I,"2,3,4,5,6,8",0,0,0,0
2,16,3,19,13,I,"2,3,4,5,6,8",0,0,0,0
2,16,4,22,13,I,"2,3,4,5,6,8",0,0,0,0
2,16,5,19,13,I,"2,3,4,5,6,8",0,0,0,0
2,16,6,16,13,I,"2,3,4,5,6,8",0,1,1,2
2,16,7,13,13,I,"2,3,4,5,6,8",0,0,0,0
2,16,8,10,13,I,"2,3,4,5,6,8",3,2,2,7
3,16,1,13,13,I,"2,3,4,5,6,8",0,0,0,0
3,16,2,16,13,I,"2,3,4,5,6,8",0,0,0,0
3,16,3,19,13,I,"2,3,4,5,6,8",0,0,0,0
3,16,4,22,13,I,"2,3,4,5,6,8",0,0,0,0
3,16,5,19,13,I,"2,3,4,5,6,8",0,0,0,0
3,16,6,16,13,I,"2,3,4,5,6,8",0,0,0,0
3,16,7,13,13,I,"2,3,4,5,6,8",0,0,0,0
3,16,8,10,13,I,"2,3,4,5,6,8",3,3,3,9
5,16,1,13,13,I,"2,3,4,5,6,8",0,0,0,0
5,16,2,16,13,I,"2,3,4,5,6,8",0,0,0,0
5,16,3,19,13,I,"2,3,4,5,6,8",0,0,0,0
5,16,4,22,13,I,"2,3,4,5,6,8",0,0,0,0
5,16,5,19,13,I,"2,3,4,5,6,8",0,0,0,0
5,16,6,16,13,I,"2,3,4,5,6,8",0,0,0,0
5,16,7,13,13,I,"2,3,4,5,6,8",0,0,0,0
5,16,8,10,13,I,"2,3,4,5,6,8",3,3,3,9
